Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
LJ Wright,2007-2012,39,34,3,607,99*,19.58,449,135.18,0,3,6,51,25
DJ Bravo,2006-2012,32,29,8,604,66*,28.76,474,127.42,0,3,2,33,29
Salman Butt,2007-2010,24,23,2,595,74,28.33,551,107.98,0,3,1,66,10
H Masakadza,2006-2012,22,22,0,585,79,26.59,502,116.53,0,5,0,51,20
MN Samuels,2007-2012,23,21,3,584,85*,32.44,426,137.08,0,6,0,35,38
PD Collingwood,2005-2011,35,33,2,583,79,18.80,459,127.01,0,3,3,37,24
SB Styris,2005-2010,31,29,2,578,66,21.40,483,119.66,0,1,0,40,25
V Kohli,2010-2012,20,18,2,558,78*,34.87,428,130.37,0,4,0,70,8
RG Sharma,2007-2012,35,28,10,531,79*,29.50,416,127.64,0,5,1,42,20
Tamim Iqbal,2007-2012,24,24,2,531,88*,24.13,494,107.48,0,3,2,64,5
C Kieswetter,2010-2012,25,25,1,526,63,21.91,470,111.91,0,3,2,47,23
JA Morkel,2005-2012,42,33,11,521,43,23.68,365,142.73,0,0,1,29,34
Imran Nazir,2007-2012,25,24,1,500,72,21.73,370,135.13,0,3,2,59,22
MJ Clarke,2005-2010,34,28,5,488,67,21.21,473,103.17,0,1,2,29,10
WTS Porterfield,2008-2012,30,29,3,475,56*,18.26,411,115.57,0,1,4,61,8
JDP Oram,2005-2012,36,30,7,474,66*,20.60,339,139.82,0,2,3,38,22
Younis Khan,2006-2010,25,23,3,442,51,22.10,364,121.42,0,2,2,31,12
JEC Franklin,2006-2012,33,27,7,434,60,21.70,367,118.25,0,2,1,24,22
GC Wilson,2008-2012,27,23,3,431,41*,21.55,480,89.79,0,0,2,38,5
KA Pollard,2008-2012,32,28,5,426,63*,18.52,293,145.39,0,2,1,33,25
Shakib Al Hasan,2006-2012,24,24,0,423,84,17.62,352,120.17,0,2,3,44,7
AD Hales,2011-2012,14,14,2,418,99,34.83,328,127.43,0,4,2,40,11
PR Stirling,2009-2012,19,19,3,415,79,25.93,345,120.28,0,3,4,52,8
AD Mathews,2009-2012,36,27,10,414,58,24.35,362,114.36,0,1,0,27,11
JD Ryder,2008-2012,20,19,1,412,62,22.88,335,122.98,0,3,2,42,16
Mohammad Ashraful,2007-2012,22,22,0,407,65,18.50,329,123.70,0,2,2,44,9
RT Ponting,2005-2009,17,16,2,401,98*,28.64,302,132.78,0,2,2,41,11
HH Gibbs,2005-2010,23,23,1,400,90*,18.18,318,125.78,0,3,4,45,12
V Sehwag,2006-2012,19,18,0,394,68,21.88,271,145.38,0,2,1,43,16
Abdul Razzaq,2006-2012,30,27,10,383,46*,22.52,320,119.68,0,0,1,20,21
KJ Coetzer,2008-2012,14,14,1,383,62,29.46,371,103.23,0,1,0,29,15
BRM Taylor,2006-2012,17,17,4,377,75*,29.00,311,121.22,0,4,3,30,12
CJ Chibhabha,2006-2011,15,15,0,370,65,24.66,330,112.12,0,3,0,41,10
RS Bopara,2008-2012,22,20,2,365,59,20.27,372,98.11,0,2,0,29,3
E Chigumbura,2006-2012,22,21,2,348,48,18.31,236,147.45,0,0,1,29,18
OA Shah,2007-2009,17,15,1,347,55*,24.78,284,122.18,0,1,0,26,13
S Chanderpaul,2006-2010,22,22,5,343,41,20.17,347,98.84,0,0,0,34,5
BJ Haddin,2006-2011,25,23,4,342,47,18.00,310,110.32,0,0,2,26,10
A Symonds,2005-2009,14,11,4,337,85*,48.14,199,169.34,0,2,2,33,10
NJ O'Brien,2008-2012,20,19,1,335,50,18.61,343,97.66,0,1,0,31,6
Mohammad Shahzad,2010-2012,13,13,1,331,77,27.58,299,110.70,0,3,0,31,4
LMP Simmons,2007-2012,14,14,2,326,77,27.16,269,121.18,0,2,2,39,6
RJ Nicol,2010-2012,20,18,0,325,58,18.05,294,110.54,0,2,2,33,11
LE Bosman,2006-2010,14,14,1,323,94,24.84,219,147.48,0,3,2,27,20
DR Smith,2006-2012,17,17,0,316,70,18.58,233,135.62,0,2,0,25,21
J Charles,2011-2012,13,12,0,308,84,25.66,281,109.60,0,1,1,39,8
ML Hayden,2005-2007,9,9,3,308,73*,51.33,214,143.92,0,4,0,37,13
RR Sarwan,2007-2010,18,16,3,298,59,22.92,286,104.19,0,2,1,19,6
CK Kapugedera,2006-2012,21,18,3,295,47,19.66,256,115.23,0,0,0,25,11
AN Kervezee,2009-2012,10,10,1,289,58*,32.11,262,110.30,0,2,0,19,6
AC Gilchrist,2005-2008,13,13,1,272,48,22.66,192,141.66,0,0,0,27,13
KJ O'Brien,2008-2012,30,26,5,271,39*,12.90,260,104.23,0,0,5,21,9
HM Amla,2009-2012,15,15,2,269,47*,20.69,227,118.50,0,0,1,32,4
MV Boucher,2005-2010,25,21,6,268,36*,17.86,275,97.45,0,0,0,22,2
Nasir Jamshed,2012-2012,11,11,1,263,56,26.30,217,121.19,0,2,1,20,10
EC Joyce,2006-2012,13,10,2,262,78*,32.75,277,94.58,0,1,0,22,3
SO Tikolo,2007-2010,11,11,3,260,56*,32.50,227,114.53,0,2,2,31,4
T Taibu,2007-2012,17,15,6,259,45*,28.77,257,100.77,0,0,2,19,2
RD Berrington,2008-2012,13,11,1,256,100,25.60,190,134.73,1,0,3,29,6
Mushfiqur Rahim,2006-2012,26,23,6,251,41*,14.76,244,102.86,0,0,1,10,10
Mahmudullah,2007-2012,21,20,1,245,64*,12.89,264,92.80,0,1,2,15,9
J Mubarak,2007-2009,16,15,4,238,46*,21.63,188,126.59,0,0,2,21,8
DJG Sammy,2007-2012,37,27,7,238,30,11.90,201,118.40,0,0,2,15,9
D Ramdin,2006-2012,33,21,6,237,44,15.80,206,115.04,0,0,0,28,2
RE Levi,2012-2012,13,13,2,236,117*,21.45,167,141.31,1,1,3,20,15
YK Pathan,2007-2012,22,18,5,236,37*,18.15,161,146.58,0,0,3,11,17
NL McCullum,2007-2012,42,26,9,235,36*,13.82,228,103.07,0,0,2,13,7
Aftab Ahmed,2006-2010,11,11,1,228,62*,22.80,178,128.08,0,1,0,26,6
Rizwan Cheema,2008-2012,12,12,1,224,68,20.36,199,112.56,0,1,1,20,15
DO Obuya,2007-2012,10,10,2,216,65*,27.00,228,94.73,0,2,1,22,4
DA Miller,2010-2012,11,10,3,214,36*,30.57,157,136.30,0,0,0,19,7
CO Obuya,2007-2012,14,12,2,214,50,21.40,191,112.04,0,1,1,19,2
RN ten Doeschate,2008-2010,9,9,4,214,56,42.80,166,128.91,0,1,0,11,7
CA Ingram,2010-2012,9,9,1,210,78,26.25,162,129.62,0,1,1,23,7
Noor Ali Zadran,2010-2012,8,8,1,210,50,30.00,222,94.59,0,1,1,17,1
AR Cusack,2008-2012,23,15,2,207,65,15.92,164,126.21,0,1,0,15,5
KS Williamson,2011-2012,13,11,2,206,48,22.88,174,118.39,0,0,0,19,3
DL Vettori,2007-2012,33,21,6,205,38,13.66,187,109.62,0,0,2,14,2
GJ Bailey,2012-2012,13,10,3,203,63,29.00,151,134.43,0,1,0,17,8
JM Kemp,2005-2007,8,7,3,203,89*,50.75,160,126.87,0,1,0,17,10
DS Smith,2007-2009,6,6,0,203,61,33.83,161,126.08,0,2,0,22,5
J Botha,2006-2012,40,20,9,201,34,18.27,165,121.81,0,0,1,15,9
Karim Sadiq,2010-2012,13,13,0,200,42,15.38,178,112.35,0,0,1,24,4
Mashrafe Mortaza,2006-2012,20,16,4,196,36,16.33,146,134.24,0,0,1,7,14
MJ Lumb,2010-2012,11,11,0,195,50,17.72,151,129.13,0,1,0,25,5
Fawad Alam,2007-2010,24,17,6,194,28,17.63,169,114.79,0,0,1,7,7
Nasir Hossain,2011-2012,11,9,3,193,50*,32.16,161,119.87,0,2,0,17,4
Asad Shafiq,2010-2012,10,10,0,192,38,19.20,185,103.78,0,0,0,19,2
F du Plessis,2012-2012,7,7,1,192,65,32.00,142,135.21,0,2,0,21,3
ES Szwarczynski,2008-2012,10,9,0,188,45,20.88,192,97.91,0,0,0,18,2
CD McMillan,2005-2007,8,7,1,187,57,31.16,117,159.82,0,1,0,8,14
T Mishra,2007-2012,9,9,0,187,38,20.77,211,88.62,0,0,1,13,4
Ahmed Shehzad,2009-2012,10,10,0,181,54,18.10,173,104.62,0,1,0,25,3
SR Patel,2011-2012,16,12,2,181,67,18.10,163,111.04,0,1,2,16,5
AA Obanda,2007-2012,15,13,2,180,79,16.36,172,104.65,0,1,2,21,3
JF Mooney,2009-2012,21,18,7,178,31*,16.18,183,97.26,0,0,0,18,0
Nazimuddin,2007-2008,7,7,0,178,81,25.42,158,112.65,0,1,2,13,10
IR Bell,2006-2011,7,7,1,175,60*,29.16,146,119.86,0,1,0,21,2
LPC Silva,2006-2011,16,15,2,175,38,13.46,177,98.87,0,0,0,19,3
AM Rahane,2011-2012,7,7,0,174,61,24.85,142,122.53,0,1,1,17,4
L Vincent,2006-2007,9,9,0,174,42,19.33,174,100.00,0,0,1,17,3
PW Borren,2008-2012,16,14,2,173,37*,14.41,184,94.02,0,0,0,13,2
IK Pathan,2006-2012,24,14,7,172,33*,24.57,144,119.44,0,0,0,9,7
A Bagai,2008-2010,7,7,1,169,53,28.16,148,114.18,0,1,0,15,0
LD Chandimal,2010-2012,12,10,0,168,56,16.80,168,100.00,0,1,0,13,2
Nawroz Mangal,2010-2012,13,13,2,168,27,15.27,167,100.59,0,0,1,14,4
NLTC Perera,2010-2012,21,17,7,168,32*,16.80,120,140.00,0,0,2,10,10
RV Uthappa,2007-2012,11,10,1,168,50,18.66,151,111.25,0,1,1,15,6
ME Trescothick,2005-2006,3,3,0,166,72,55.33,131,126.71,0,2,0,23,1
SPD Smith,2010-2011,20,15,4,165,34,15.00,152,108.55,0,0,1,12,3
MS Wade,2011-2012,15,10,2,164,72,20.50,150,109.33,0,1,0,8,6
DM Bravo,2010-2012,8,7,0,159,42,22.71,144,110.41,0,0,1,16,6
Junaid Siddique,2007-2012,7,7,0,159,71,22.71,108,147.22,0,1,1,16,7
Umar Gul,2007-2012,51,23,8,159,32,10.60,142,111.97,0,0,5,11,10
RR Watson,2007-2010,10,9,0,159,54,17.66,141,112.76,0,1,1,22,1
MR Swart,2012-2012,6,6,0,158,61,26.33,128,123.43,0,2,0,13,4
JC Buttler,2011-2012,18,14,6,156,33*,19.50,118,132.20,0,0,0,9,7
H Patel,2010-2012,8,8,1,156,88*,22.28,153,101.96,0,1,1,12,2
ADS Fletcher,2008-2011,16,16,2,149,53,10.64,167,89.22,0,1,5,15,3
JM Bairstow,2011-2012,15,12,4,148,60*,18.50,148,100.00,0,1,0,11,3
DT Johnston,2008-2012,28,17,6,148,24*,13.45,128,115.62,0,0,1,5,5
Samiullah Shinwari,2010-2012,13,12,2,146,61,14.60,119,122.68,0,1,0,9,6
H Davids,2012-2012,3,3,0,143,68,47.66,102,140.19,0,2,0,17,4
TN de Grooth,2008-2012,13,11,5,143,49,23.83,130,110.00,0,0,0,14,1
JL Ontong,2008-2012,11,8,0,139,48,17.37,96,144.79,0,0,0,4,10
CS MacLeod,2009-2012,7,6,0,138,57,23.00,102,135.29,0,2,1,15,3
IJL Trott,2007-2010,7,7,1,138,51,23.00,144,95.83,0,1,0,9,3
DF Watts,2007-2012,11,9,0,137,46,15.22,127,107.87,0,0,2,13,3
AR White,2008-2012,18,12,6,137,29,22.83,128,107.03,0,0,0,12,2
Mohammad Nabi,2010-2012,13,12,1,136,43*,12.36,98,138.77,0,0,3,11,5
BMAJ Mendis,2011-2012,12,9,3,135,43*,22.50,116,116.37,0,0,0,13,2
GEF Barnett,2008-2010,5,5,1,131,36,32.75,136,96.32,0,0,0,16,0
WU Tharanga,2006-2012,10,10,0,131,37,13.10,115,113.91,0,0,2,12,3
AC Botha,2008-2010,14,11,1,130,38,13.00,141,92.19,0,0,2,12,1
PG Fulton,2006-2012,12,12,1,127,25,11.54,140,90.71,0,0,2,7,6
KD Mills,2005-2012,35,17,6,127,33*,11.54,111,114.41,0,0,4,9,5
MJ Prior,2007-2010,10,8,2,127,32,21.16,100,127.00,0,0,1,11,5
AJ Redmond,2009-2010,7,6,0,126,63,21.00,84,150.00,0,1,0,19,2
TLW Cooper,2012-2012,6,6,0,123,60,20.50,98,125.51,0,1,1,9,5
AD Mascarenhas,2007-2009,14,13,5,123,31,15.37,100,123.00,0,0,3,8,5
M Vijay,2010-2011,7,7,0,122,48,17.42,124,98.38,0,0,1,8,6
DR Martyn,2005-2006,4,4,0,120,96,30.00,74,162.16,0,1,0,11,5
Shahzaib Hasan,2009-2010,10,10,0,116,35,11.60,130,89.23,0,0,3,13,3
DL Maddy,2007-2007,4,4,0,113,50,28.25,80,141.25,0,1,0,12,3
Naeem Islam,2008-2011,9,9,1,112,28,14.00,104,107.69,0,0,0,5,6
SP Fleming,2005-2006,5,5,0,110,38,22.00,85,129.41,0,0,0,20,0
F Behardien,2012-2012,9,6,3,109,31*,36.33,84,129.76,0,0,0,10,2
SE Marsh,2008-2012,8,8,0,108,29,13.50,102,105.88,0,0,2,8,5
B Zuiderent,2009-2010,6,6,1,108,43*,21.60,124,87.09,0,0,0,8,1
RJ Peterson,2006-2012,19,10,3,107,34,15.28,95,112.63,0,0,1,12,2
MG Johnson,2007-2011,28,16,6,106,28*,10.60,90,117.77,0,0,2,8,3
JR Hopes,2005-2010,12,7,2,105,30,21.00,98,107.14,0,0,0,7,1
AJ Finch,2011-2012,3,3,2,104,53*,104.00,70,148.57,0,1,0,11,2
GP Swann,2008-2012,39,16,11,104,34,20.80,89,116.85,0,0,2,9,1
RG Aga,2008-2012,9,9,1,102,28,12.75,115,88.69,0,0,0,5,2
SM Davies,2009-2011,5,5,0,102,33,20.40,82,124.39,0,0,0,12,0
B Lee,2005-2012,25,12,6,101,43*,16.83,71,142.25,0,0,2,9,4
S Dhaniram,2008-2010,11,9,0,100,26,11.11,123,81.30,0,0,0,6,2
Harbhajan Singh,2006-2012,25,11,4,100,21,14.28,83,120.48,0,0,0,10,4
KD Karthik,2006-2010,9,8,2,100,31*,16.66,88,113.63,0,0,1,14,1
Ziaur Rahman,2012-2012,9,7,3,100,40*,25.00,67,149.25,0,0,1,3,9
CK Coventry,2010-2011,9,8,1,97,30,13.85,60,161.66,0,0,2,11,5
AM Samad,2008-2010,7,6,0,97,29,16.16,88,110.22,0,0,1,8,4
XM Marshall,2008-2009,6,6,0,96,36,16.00,77,124.67,0,0,1,8,4
RS Morton,2006-2010,7,7,1,96,40,16.00,103,93.20,0,0,1,8,2
MH Yardy,2006-2011,14,8,5,96,35*,32.00,72,133.33,0,0,3,9,1
NS Poonia,2007-2010,8,7,2,95,38*,19.00,108,87.96,0,0,2,3,1
HDRL Thirimanne,2012-2012,11,7,1,95,30,15.83,80,118.75,0,0,0,11,1
BJ Hodge,2007-2008,8,5,2,94,36,31.33,77,122.07,0,0,0,5,3
JH Stander,2009-2012,11,11,2,94,45,10.44,90,104.44,0,0,3,6,4
Yasir Arafat,2007-2012,13,11,4,92,17,13.14,79,116.45,0,0,0,8,2
Raees Ahmadzai,2010-2010,8,6,3,91,33*,30.33,84,108.33,0,0,0,5,1
GM Hamilton,2007-2010,12,8,0,90,32,11.25,110,81.81,0,0,0,6,1
KMDN Kulasekara,2008-2012,25,14,4,89,26,8.90,79,112.65,0,0,2,5,3
Mudassar Bukhari,2008-2012,14,11,3,87,28*,10.87,69,126.08,0,0,1,7,3
GJ Hopkins,2007-2010,10,8,0,86,36,10.75,71,121.12,0,0,0,5,5
SM Pollock,2005-2008,12,9,2,86,36*,12.28,70,122.85,0,0,3,4,4
TM Odoyo,2007-2008,8,7,0,85,22,12.14,102,83.33,0,0,0,6,1
V Sibanda,2007-2012,7,7,0,85,29,12.14,90,94.44,0,0,2,13,1
Gulbadin Naib,2012-2012,5,5,1,84,44,21.00,77,109.09,0,0,0,5,6
JK Kamande,2007-2010,12,9,0,83,42,9.22,92,90.21,0,0,2,5,3
TT Bresnan,2006-2012,25,14,6,80,23*,10.00,80,100.00,0,0,3,6,0
CR Ervine,2010-2012,5,4,0,78,37,19.50,100,78.00,0,0,0,6,1
RR Patel,2008-2012,10,7,0,78,27,11.14,88,88.63,0,0,0,4,4
ML Udawatte,2008-2009,5,5,0,77,25,15.40,64,120.31,0,0,1,8,2
A Flintoff,2005-2007,7,7,1,76,31,12.66,60,126.66,0,0,1,7,2
Imran Farhat,2010-2011,7,7,0,76,19,10.85,70,108.57,0,0,1,14,0
NFI McCallum,2007-2010,11,7,0,76,38,10.85,85,89.41,0,0,3,7,1
S Matsikenyeri,2006-2012,10,10,0,76,32,7.60,82,92.68,0,0,2,6,3
VS Solanki,2005-2007,3,3,0,76,43,25.33,61,124.59,0,0,0,10,1
NJ Astle,2005-2006,4,4,1,74,40*,24.66,67,110.44,0,0,0,7,2
RA Jadeja,2009-2012,14,10,3,74,25,10.57,88,84.09,0,0,1,3,1
KO Otieno,2008-2008,4,4,0,74,40,18.50,79,93.67,0,0,0,5,2
NR Kumar,2012-2012,4,4,0,73,38,18.25,73,100.00,0,0,0,7,1
SJ Myburgh,2012-2012,4,4,0,73,36,18.25,73,100.00,0,0,0,9,2
NN Odhiambo,2007-2012,13,10,0,73,18,7.30,101,72.27,0,0,1,6,0
TG Southee,2008-2012,31,12,4,73,23,9.12,65,112.30,0,0,1,6,3
AJ Strauss,2005-2009,4,4,0,73,33,18.25,64,114.06,0,0,1,9,0
PL Mommsen,2012-2012,5,5,1,72,26,18.00,63,114.28,0,0,1,8,0
DAJ Bracewell,2011-2012,13,7,4,70,21*,23.33,54,129.62,0,0,1,5,3
SM Katich,2005-2006,3,2,0,69,39,34.50,47,146.80,0,0,0,8,2
SL Malinga,2006-2012,40,15,7,69,27,8.62,80,86.25,0,0,2,3,3
WD Parnell,2009-2012,17,4,2,69,29*,34.50,50,138.00,0,0,0,7,3
TM Dowlin,2009-2010,2,2,1,68,37*,68.00,69,98.55,0,0,0,8,0
Sohail Tanvir,2007-2012,28,11,3,68,17*,8.50,62,109.67,0,0,0,3,5
MN van Wyk,2007-2011,3,2,0,68,67,34.00,43,158.13,0,1,0,5,5
SCJ Broad,2006-2012,43,17,7,66,18*,6.60,68,97.05,0,0,2,4,1
R Gunasekera,2012-2012,4,4,0,66,26,16.50,76,86.84,0,0,0,6,2
Shoaib Khan jnr,2008-2008,4,4,0,65,50,16.25,74,87.83,0,1,1,7,0
RM Haq,2007-2012,13,10,6,64,21*,16.00,95,67.36,0,0,0,2,1
DP Hyatt,2011-2012,5,5,1,64,28,16.00,54,118.51,0,0,0,4,4
DJ Reekers,2008-2009,6,5,0,64,29,12.80,49,130.61,0,0,1,10,2
Mirwais Ashraf,2010-2012,9,7,1,63,23,10.50,49,128.57,0,0,0,1,6
Saeed Ajmal,2009-2012,50,17,10,63,21*,9.00,56,112.50,0,0,1,6,1
AC Voges,2007-2009,4,3,1,63,26,31.50,52,121.15,0,0,0,6,0
CD Barnwell,2011-2011,4,4,2,61,34*,30.50,47,129.78,0,0,1,2,4
NT Broom,2009-2009,9,5,1,61,36,15.25,55,110.90,0,0,0,7,1
AN Cook,2007-2009,4,4,0,61,26,15.25,54,112.96,0,0,0,10,0
PD McGlashan,2006-2010,11,9,1,61,26,7.62,64,95.31,0,0,0,6,2
JWM Dalrymple,2006-2007,3,3,0,60,32,20.00,57,105.26,0,0,0,6,0
P Mustard,2008-2008,2,2,0,60,40,30.00,37,162.16,0,0,0,5,4
DLS van Bunge,2008-2010,10,9,2,60,24,8.57,76,78.94,0,0,2,1,1
DR Flynn,2008-2012,5,5,0,59,23,11.80,51,115.68,0,0,0,1,4
AD Russell,2011-2012,12,8,3,58,19*,11.60,55,105.45,0,0,2,4,2
CJO Smith,2007-2009,8,6,1,58,46*,11.60,54,107.40,0,0,3,6,0
Alok Kapali,2007-2011,7,7,2,57,19,11.40,85,67.05,0,0,2,3,1
RE van der Merwe,2009-2010,13,6,3,57,48,19.00,50,114.00,0,0,1,2,4
Farhad Reza,2006-2011,8,6,0,56,19,9.33,67,83.58,0,0,0,3,2
JM How,2007-2008,5,5,0,56,31,11.20,67,83.58,0,0,0,5,1
HS Baidwan,2008-2012,15,10,2,54,21,6.75,50,108.00,0,0,3,4,1
GD Drummond,2008-2012,13,7,0,54,35,7.71,65,83.07,0,0,2,3,0
Wahab Riaz,2008-2011,6,4,2,54,30*,27.00,40,135.00,0,0,0,3,3
R Ashwin,2010-2012,18,5,3,53,17*,26.50,44,120.45,0,0,0,6,1
GB Hogg,2006-2012,12,3,0,52,41,17.33,36,144.44,0,0,0,3,3
IS Billcliff,2010-2010,2,2,0,51,37,25.50,39,130.76,0,0,0,3,2
Raqibul Hasan,2008-2010,5,5,0,51,18,10.20,62,82.25,0,0,0,3,1
Mohammad Yousuf,2006-2010,3,3,0,50,26,16.66,43,116.27,0,0,0,5,1
U Bhatti,2008-2010,7,7,3,49,12,12.25,48,102.08,0,0,0,3,1
N Deonarine,2010-2010,7,6,1,49,36*,9.80,50,98.00,0,0,3,4,0
CU Jayasinghe,2009-2010,5,3,2,49,38,49.00,49,100.00,0,0,0,3,1
MR Marsh,2011-2012,3,3,1,49,36,24.50,35,140.00,0,0,0,2,4
SD Outerbridge,2008-2008,3,3,1,49,37*,24.50,51,96.07,0,0,0,2,1
K Weeraratne,2008-2009,5,5,2,49,20*,16.33,45,108.88,0,0,0,4,1
Awais Zia,2012-2012,3,3,0,47,23,15.66,52,90.38,0,0,0,2,3
L Ronchi,2008-2009,3,2,0,47,36,23.50,27,174.07,0,0,0,8,1
JE Taylor,2006-2010,17,9,5,47,16*,11.75,38,123.68,0,0,1,3,2
P Utseya,2006-2012,20,14,5,47,13*,5.22,68,69.11,0,0,3,2,0
KM Dabengwa,2006-2010,8,7,3,46,16*,11.50,40,115.00,0,0,0,4,2
JJ van der Wath,2006-2007,8,4,1,46,21,15.33,39,117.94,0,0,0,3,1
AS Hansra,2012-2012,4,4,0,45,30,11.25,56,80.35,0,0,0,2,2
Shafiqullah,2010-2012,7,7,0,45,23,6.42,47,95.74,0,0,2,5,2
Asghar Afghan,2010-2012,6,5,0,44,30,8.80,64,68.75,0,0,0,0,3
JM Davison,2008-2010,5,5,0,44,19,8.80,40,110.00,0,0,2,2,3
S Badrinath,2011-2011,1,1,0,43,43,43.00,37,116.21,0,0,0,5,0
NG Jones,2010-2012,5,4,2,42,14*,21.00,38,110.52,0,0,1,1,2
Junaid Siddiqui,2012-2012,4,4,2,42,21,21.00,31,135.48,0,0,0,2,2
W Barresi,2012-2012,6,6,0,41,14,6.83,60,68.33,0,0,1,3,0
K Jethi,2008-2008,5,5,1,41,24,10.25,59,69.49,0,0,1,0,2
RR David,2008-2008,4,4,0,39,17,9.75,65,60.00,0,0,0,2,1
GJ Maxwell,2012-2012,7,4,1,39,27,13.00,38,102.63,0,0,0,3,1
Mohammad Amir,2009-2010,18,6,2,39,21*,9.75,36,108.33,0,0,1,1,2
R Flannigan,2012-2012,4,4,1,38,18,12.66,33,115.15,0,0,1,4,0
TWM Latham,2012-2012,3,3,0,38,19,12.66,35,108.57,0,0,0,3,0
D Mongia,2006-2006,1,1,0,38,38,38.00,45,84.44,0,0,0,4,1
F Mutizwa,2011-2012,3,3,0,38,22,12.66,36,105.55,0,0,1,3,0
MA Ouma,2007-2012,11,8,0,38,13,4.75,52,73.07,0,0,2,5,0
SC Williams,2006-2006,1,1,0,38,38,38.00,39,97.43,0,0,0,2,2
SJ Benn,2008-2010,17,7,4,37,13*,12.33,42,88.09,0,0,1,5,1
JS Foster,2009-2009,5,5,2,37,14*,12.33,32,115.62,0,0,0,0,1
BJ Watling,2009-2012,3,3,0,37,22,12.33,56,66.07,0,0,0,3,0
CR Woakes,2011-2011,3,3,2,37,19*,37.00,30,123.33,0,0,0,1,2
PA Patel,2011-2011,2,2,0,36,26,18.00,32,112.50,0,0,0,4,1
AD Poynter,2012-2012,5,3,1,36,23*,18.00,32,112.50,0,0,0,3,1
TGJ Gruijters,2012-2012,4,3,2,35,21*,35.00,27,129.62,0,0,0,2,1
Khalid Latif,2008-2012,7,7,0,34,13,4.85,51,66.66,0,0,1,3,1
EMDY Munaweera,2012-2012,3,3,1,34,17,17.00,37,91.89,0,0,0,4,0
C Munro,2012-2012,3,3,1,34,23,17.00,35,97.14,0,0,0,4,0
JD Nel,2007-2010,10,5,2,34,13*,11.33,25,136.00,0,0,1,3,1
OL Pitcher,2008-2008,3,3,0,34,15,11.33,53,64.15,0,0,0,1,0
Hamid Hassan,2010-2010,8,5,2,33,22,11.00,32,103.12,0,0,0,2,2
GO Jones,2005-2006,2,2,1,33,19,33.00,25,132.00,0,0,0,5,0
RJMGM Rupasinghe,2009-2009,2,2,0,33,18,16.50,39,84.61,0,0,0,2,0
WPUJC Vaas,2006-2007,6,2,1,33,21,33.00,41,80.48,0,0,0,1,0
MN Waller,2011-2012,5,4,0,33,12,8.25,32,103.12,0,0,1,3,1
WD Balaji Rao,2008-2008,4,4,1,32,22*,10.66,30,106.66,0,0,1,1,2
SE Findlay,2008-2008,2,2,0,32,19,16.00,31,103.22,0,0,0,4,0
